source_ip,dest_ip,source_port,dest_port,protocol,timestamp,bytes_transferred,packets_sent,label
192.168.196.56,10.0.52.31,43595,908,UDP,2023-10-10 13:47:27.868593,5852,52,0
192.168.60.191,10.0.57.101,56762,319,TCP,2023-10-10 13:46:47.002842,6058,83,0
192.168.108.235,10.0.94.207,62593,908,TCP,2023-10-10 13:41:03.009004,7331,25,0
192.168.170.77,10.0.151.133,43923,40,UDP,2023-10-10 13:57:24.014951,233,78,0
192.168.46.213,10.0.241.198,46561,958,TCP,2023-10-10 13:05:17.020674,1958,73,0
192.168.113.78,10.0.122.2,54496,637,TCP,2023-10-10 13:56:53.026623,4559,63,0
192.168.83.21,10.0.187.155,45576,718,UDP,2023-10-10 13:47:18.032428,347,62,0
192.168.91.41,10.0.151.230,13873,730,TCP,2023-10-10 13:20:22.038322,7914,8,0
192.168.222.41,10.0.144.179,59187,918,UDP,2023-10-10 13:37:49.044024,7731,36,0
192.168.101.129,10.0.57.105,7986,804,ICMP,2023-10-10 13:34:05.049879,2742,3,0
192.168.138.138,10.0.181.199,38873,840,UDP,2023-10-10 13:16:45.055698,1711,40,0
192.168.165.222,10.0.198.90,40238,148,TCP,2023-10-10 13:49:17.061499,49256,33,1
192.168.215.10,10.0.147.33,42052,112,ICMP,2023-10-10 13:45:51.067418,5573,22,0
192.168.247.144,10.0.4.31,65139,310,TCP,2023-10-10 13:31:26.073368,3415,27,0
192.168.206.174,10.0.97.77,65129,828,TCP,2023-10-10 13:15:31.079116,4343,30,0
192.168.105.51,10.0.111.58,55971,503,ICMP,2023-10-10 13:06:44.084845,1946,30,0
192.168.207.97,10.0.240.231,44826,142,TCP,2023-10-10 13:23:36.090615,3100,93,0
192.168.151.214,10.0.231.42,55063,960,ICMP,2023-10-10 13:03:08.096396,3152,84,0
192.168.219.234,10.0.135.230,28646,246,ICMP,2023-10-10 13:27:54.102159,1576,49,0
192.168.93.199,10.0.145.79,57124,38,TCP,2023-10-10 13:16:01.108257,1736,41,0
192.168.56.86,10.0.146.152,49039,523,TCP,2023-10-10 13:49:47.113990,413,90,0
192.168.102.12,10.0.159.169,55716,712,UDP,2023-10-10 13:44:51.119746,9045,47,0
192.168.206.57,10.0.7.33,59677,196,TCP,2023-10-10 13:52:06.125544,623,11,0
192.168.21.188,10.0.108.215,14484,982,ICMP,2023-10-10 13:52:36.131279,4048,82,0
192.168.31.190,10.0.102.21,6647,1013,UDP,2023-10-10 13:36:23.137109,6552,57,0
192.168.22.23,10.0.51.90,18967,445,UDP,2023-10-10 13:56:10.142779,8200,24,0
192.168.131.28,10.0.242.64,15877,323,ICMP,2023-10-10 13:46:54.148667,2002,44,0
192.168.218.212,10.0.92.85,4792,722,ICMP,2023-10-10 13:50:50.154425,8994,5,0
192.168.3.134,10.0.196.113,14790,143,UDP,2023-10-10 13:20:27.160094,8194,29,0
192.168.190.211,10.0.199.206,23197,50,ICMP,2023-10-10 13:28:30.165902,968,94,0
192.168.31.227,10.0.133.154,53053,772,UDP,2023-10-10 13:48:50.171624,7579,79,0
192.168.2.225,10.0.173.246,15717,406,UDP,2023-10-10 13:17:58.177333,8320,79,0
192.168.153.168,10.0.58.133,63984,372,UDP,2023-10-10 13:30:36.183114,5289,35,0
192.168.28.44,10.0.133.233,40018,788,TCP,2023-10-10 13:41:03.188999,6438,36,0
